Cantidad;Nemotecnico;Volumen;Ultimo_Precio;Variacion%
846.463,00;PFBCOLOM  ;19.747.675.560,00;24.000,00;6,10
24.502.418,00;PFAVAL    ;19.734.860.830,00;814,00;2,13
726.655,00;BCOLOMBIA ;16.604.497.660,00;23.980,00;7,53
8.228.583,00;ECOPETROL ;7.973.784;2.005,00;,75
306.690,00;GRUPOSURA ;5.767.559.480,00;18.840,00;-1,36
453.185,00;CNEC      ;4.829.621.900,00;11.000,00;2,04
191.013,00;PFDAVVNDA ;9.938.686;24.800,00;3,25
244.283,00;ISA       ;4.605.222.900,00;19.140,00;2,90
381.613,00;GRUPOARGOS;9.938.686;8.120,00;-1,69
1.273.704,00;GEB       ;2.803.104.465,00;2.210,00;,91
104.278,00;NUTRESA   ;2.354.858.500,00;22.480,00;-,79
1.292.408,00;CLH       ;2.131.791.130,00;1.650,00;,30
79.557,00;PFGRUPSURA;1.277.777.060,00;16.020,00;-1,23
8.738.322,00;PFAVH     ;1.104.692.771,00;120,00;39,53
190.310,00;CEMARGOS  ;670.845.555,00;3.500,00;-2,10
26.559,00;CORFICOLCF;661.602.660,00;25.000,00;1,13
66.763,00;PFGRUPOARG;470.332.430,00;7.130,00;,42
73.431,00;MINEROS   ;252.401.605,00;3.400,00;-,58
18.775,00;EXITO     ;206.682.060,00;11.200,00;-2,10
3.410,00;BOGOTA    ;202.108.400,00;59.000,00;-1,07
39.556,00;CELSIA    ;161.107.960,00;4.060,00;-,98
17.304,00;TERPEL    ;120.482.630,00;7.000,00;,00
3.470,00;PFCORFICOL;69.398.940,00;20.000,00;,00
3.915,00;ICOLCAP   ;42.997.651,50;11.009,00;,69
2.707,00;TGLSC     ;39.034.940,00;14.420,00;,00
78.304,00;CONCONCRET;27.448.582,00;350,00;-2,23
9.190,00;PFCEMARGOS;26.673.100,00;2.910,00;,00
332,00;GRUBOLIVAR;19.146.720,00;57.960,00;5,15
73.700,00;ETB       ;14.154.100,00;192,00;-3,52
1.182.300,00;ENKA      ;9.931.320,00;8,00;,00
1.000,00;BVC       ;9.220.000,00;9.220,00;,00
4.260,00;ELCONDOR  ;3.838.260,00;950,00;,00
180,00;PROMIGAS  ;1.224.000,00;6.870,00;,00
